"rank_id","hit_id","assignment_id","worker_id","time","rank0","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","trial","gen"
3,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","3LKC68YZ3A2TLQU4FEORERM57K7OW5","A3IR7DFEKLLLO","2017-12-11 03:50:14+00",19,12,13,6,3,9999,-9999,-9999,-9999,-9999,0,0
4,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","37XITHEISW8N45GFQF5UWSK7QR9CRT","A2OTDMCV8CZWML","2017-12-11 03:51:13+00",19,9999,3,6,13,12,-9999,-9999,-9999,-9999,0,0
5,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","39GHHAVOMFQ3BDKNPVQ3B3MSOXZ4JH","AHLS6AZ1VTNH7","2017-12-11 03:51:56+00",12,19,13,6,3,9999,-9999,-9999,-9999,-9999,0,0
12,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","3PB5A5BD0V5Q3YC5JN37H2EMN797G1","A3NKTB1JU5AKIW","2017-12-11 03:55:33+00",19,12,6,3,9999,13,-9999,-9999,-9999,-9999,0,0
15,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","30OG32W0SUAHM581TZU8DWF0A6ZNEB","A14X9MMC9P7XI8","2017-12-11 04:02:47+00",19,3,12,6,13,9999,-9999,-9999,-9999,-9999,0,0
16,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","3P529IW9KYKJ4J5CCXYZIMWBHCELFP","A3BZVFD82AVLT8","2017-12-11 04:05:26+00",19,13,12,6,3,9999,-9999,-9999,-9999,-9999,0,0
17,"36AZSFEYZ3ZT0N7XVX98XL88IUABVJ","3NLZY2D53POGV8VLQD9TUL0POEOLQK","A29CY5Y79TEOW4","2017-12-11 04:12:09+00",19,12,6,13,3,9999,-9999,-9999,-9999,-9999,0,0
2,"31KSVEGZ33RTVJORH40UJ2WQ7PEWRQ","3M23Y66PO26AP37RVDSW02XTG7HS65","A3IR7DFEKLLLO","2017-12-11 03:49:57+00",2,11,14,8,9999,15,-9999,-9999,-9999,-9999,1,0
6,"31KSVEGZ33RTVJORH40UJ2WQ7PEWRQ","3YZ8UPK3VTLFKX8WU90Z137RXQDCUX","A2OTDMCV8CZWML","2017-12-11 03:52:26+00",9999,11,14,2,8,15,-9999,-9999,-9999,-9999,1,0
11,"31KSVEGZ33RTVJORH40UJ2WQ7PEWRQ","3BV8HQ2ZZW06P7LXED65F23NU1CA6T","A3NKTB1JU5AKIW","2017-12-11 03:55:05+00",2,14,11,9999,8,15,-9999,-9999,-9999,-9999,1,0
14,"31KSVEGZ33RTVJORH40UJ2WQ7PEWRQ","39LOEL67OS4T9050YDOTC8L8UMA83H","A2GYXEC3JBVINM","2017-12-11 04:00:01+00",8,2,11,14,9999,15,-9999,-9999,-9999,-9999,1,0
1,"3IJ95K7NDWBCJZ6Z9SFVOF5SC40GNO","3L2IS5HSFAHYB15NJZ9DHE13WURNUQ","A3IR7DFEKLLLO","2017-12-11 03:49:37+00",7,20,18,16,9999,21,-9999,-9999,-9999,-9999,2,0
7,"3IJ95K7NDWBCJZ6Z9SFVOF5SC40GNO","3HSYG7LRBJXJ0ZF8S8DVJZB108PKKM","AHLS6AZ1VTNH7","2017-12-11 03:52:29+00",18,7,21,20,16,9999,-9999,-9999,-9999,-9999,2,0
8,"3IJ95K7NDWBCJZ6Z9SFVOF5SC40GNO","3PDJHANYK5FLZUTBKJGXWOQR7W16HZ","A1Z37HK53J8S87","2017-12-11 03:52:44+00",21,9999,7,18,16,20,-9999,-9999,-9999,-9999,2,0
9,"3IJ95K7NDWBCJZ6Z9SFVOF5SC40GNO","30LSNF239UUXDOLU3ZMF6NAUR4DI2M","A2OTDMCV8CZWML","2017-12-11 03:53:15+00",9999,20,16,18,7,21,-9999,-9999,-9999,-9999,2,0
10,"3IJ95K7NDWBCJZ6Z9SFVOF5SC40GNO","3X0H8UUIT1N8JIMXMV50YWW649BWSB","A3NKTB1JU5AKIW","2017-12-11 03:54:19+00",21,9999,16,18,20,7,-9999,-9999,-9999,-9999,2,0
13,"3IJ95K7NDWBCJZ6Z9SFVOF5SC40GNO","3JMSRU9HQITUUAHAVQGZND9DW9ZVEY","ARMGNUJBUW582","2017-12-11 03:57:25+00",21,9999,16,20,18,7,-9999,-9999,-9999,-9999,2,0
