"find_id","hit_id","assignment_id","worker_id","original","updated","time","pitch","heading","trial","gen","zoom","find_time","invalid_count","valid_count"
1,"3VP28W7DUMJ0MOON1WK71HCPL36FZ3","3AMW0RGHOD1LJWXR2DAJ78E4OCQNPJ","AWRK8ZD3KKZAW","Find a brown tarp.","Find a brown tarp that is to the right of the image.","2017-12-11 03:13:45+00",-9.649638175041389,80.65283970476467,0,0,1,12.924,0,6
2,"3G5RUKN2EB2X4PJRVM9LWYJ58R3N92","3R6P78PK7KAD1W9CWQ68MY64C3PTGM","A3U21PUMQ6NGT2","Find the bench.","The bench is on a brick patio in front of the white house with the tan roof that has a white SUV parked in the driveway.","2017-12-11 03:14:34+00",-3.338382699828344,318.10283481852866,1,0,1.7251498650358186,34.668,0,5
3,"3VP28W7DUMJ0MOON1WK71HCPL36FZ3","3WQ3B2KGE8FG1VPSELUKFHWC4781B6","A2RWG1BDW949U1","Find a brown tarp.","next to the food kart","2017-12-11 03:14:58+00",-13.666450179028445,83.23419058668797,0,0,0.9999999999999997,15.369,0,6
4,"3Q7TKIAPOS9JJFTNVPY852Y6UHILDF","35USIKEBNRFD9QFMNHBA18NNT72N6F","A2RWG1BDW949U1","Find the yellow sign.","on the right side of the road","2017-12-11 03:15:27+00",-4.249406667971783,65.80517294999069,2,0,0.9999999999999997,9.557,0,8
5,"3Q7TKIAPOS9JJFTNVPY852Y6UHILDF","3RU7GD8VPOSIZ9PWA9R562OABB0PSZ","A1DY3EW6Q0B5K5","Find the yellow sign.","The yellow sign is behind you, so turn around. ","2017-12-11 03:15:34+00",7.457575069698706,66.14983607731179,2,0,0.9999999999999997,13.107,0,8
6,"3VP28W7DUMJ0MOON1WK71HCPL36FZ3","3V5Q80FXIXQINL3BIWFS2H858MA230","A1DY3EW6Q0B5K5","Find a brown tarp.","The brown tarp is to your right. ","2017-12-11 03:16:11+00",-1.9257676457637132,76.30412966978166,0,0,0.8681201165374324,13.464,0,6
7,"3Q7TKIAPOS9JJFTNVPY852Y6UHILDF","38F71OA9GTV3A1NXC9ZEIZB0HHWFMD","AWRK8ZD3KKZAW","Find the yellow sign.","Find the yellow sign that is located directly behind you on the image.","2017-12-11 03:16:57+00",-2.278566200082338,63.471161233214445,2,0,1,28.651,0,8
8,"3G5RUKN2EB2X4PJRVM9LWYJ58R3N92","3EG49X351UBILKTQPNYJZAELVMDX6C","A1DY3EW6Q0B5K5","Find the bench.","There is a bench behind you. Turn around and look towards the right. ","2017-12-11 03:17:28+00",-6.254060609515292,311.1720170943147,1,0,2.2307846962561664,41.141,0,5
9,"3G5RUKN2EB2X4PJRVM9LWYJ58R3N92","3R9WASFE2ZF398MGRYP8Q179WKDFZR","A2OH4HSBUHQCLS","Find the bench.","The bench is located on the front patio of a single story home (with a white SUV in the driveway).","2017-12-11 03:17:50+00",-4.337183478463288,269.262594543595,1,0,1,7.632,4,1
10,"3VP28W7DUMJ0MOON1WK71HCPL36FZ3","3PM8NZGV8YFBV2CA4WCH5FVCVMNXQ5","A35K3YVCX1LVPE","Find a brown tarp.","There is a brown tarp on a busy street next to a food stand.","2017-12-11 03:19:35+00",-16.296179613970253,49.02857798276287,0,0,0.9999999999999997,251.906,6,0
